   1.0000000e+00   8.3902529e-01   4.3801711e-01  -4.4238709e-02  -4.4945110e-01  -6.6995042e-01  -6.9357738e-01  -5.8294175e-01  -3.9807327e-01  -1.7221442e-01   7.4105927e-02
   1.0000000e+00   8.0015774e-01   3.3920467e-01  -1.4248948e-01  -4.5421463e-01  -5.0273965e-01  -3.5228027e-01  -1.8978304e-01  -1.3213969e-01  -1.4677884e-01  -1.5051472e-01
   1.0000000e+00   7.3419961e-01   1.7583195e-01  -3.4688664e-01  -6.4786898e-01  -5.7221113e-01  -2.2602516e-01   5.1063743e-02   1.2318995e-01   6.9981740e-02  -4.7723190e-02
   1.0000000e+00   7.2181359e-01   1.5962703e-01  -3.4262045e-01  -6.1581039e-01  -5.0211746e-01  -1.2550615e-01   1.4757234e-01   1.8975445e-01   7.6172962e-02  -1.1712917e-01
   1.0000000e+00   7.1847077e-01   1.8701410e-01  -2.8065861e-01  -6.1567717e-01  -5.9886056e-01  -2.5625086e-01   2.7187611e-02   1.2920224e-01   1.4137557e-01   3.0150754e-02
   1.0000000e+00   7.2419039e-01   1.7666728e-01  -3.1872670e-01  -6.3210339e-01  -5.7375487e-01  -2.1000451e-01   8.9980439e-02   1.8552823e-01   1.4237708e-01  -2.1634093e-02
   1.0000000e+00   7.0919570e-01   1.6412469e-01  -3.0153474e-01  -6.2099599e-01  -5.8797682e-01  -2.3767751e-01   1.8197159e-02   6.9031395e-02   6.8458256e-02   6.3682180e-04
   1.0000000e+00   7.1313680e-01   1.7411138e-01  -2.8227508e-01  -5.7472840e-01  -5.1848434e-01  -1.7513975e-01   5.5321170e-02   7.7760786e-02   4.2031432e-02  -4.8280772e-02
   1.0000000e+00   7.5686424e-01   3.0741874e-01  -1.1951562e-01  -5.2001275e-01  -6.7131931e-01  -5.2149140e-01  -3.4332696e-01  -1.8406628e-01   4.1516890e-02   2.0326322e-01
   1.0000000e+00   7.1710823e-01   1.4209878e-01  -3.7257606e-01  -6.5610241e-01  -5.4561097e-01  -1.5902518e-01   1.2885787e-01   1.8669075e-01   1.0238825e-01  -5.0388685e-02
