   1.5106866e-03   4.3504746e-03   6.6727606e-03   8.2740923e-03   1.8743269e-03   8.8064733e-02   3.9872306e-01   2.7729307e-01   7.8582302e-01   1.1236164e-01
   1.1274585e-02   3.1041121e-02   2.9834731e-02   3.8927092e-02   2.8846723e-03   8.8100525e-02   4.0975135e-01   2.9946880e-01   7.8654079e-01   1.7365414e-01
   2.0927800e-02   7.2819318e-02   4.8925438e-02   6.4222486e-02   3.4124708e-03   7.6200156e-01   6.5610212e-01   6.3092159e-01   1.0370549e+00   6.0927071e-01
   2.0950491e-02   1.1032132e-01   7.4995589e-02   9.2038506e-02   7.7418629e-03   1.6857093e+00   1.7237961e+00   1.7744516e+00   1.6389845e+00   1.5255044e+00
   4.8909932e-02   1.1514761e-01   8.4234818e-02   9.9303882e-02   3.6160965e-02   2.0031602e+00   1.9364469e+00   2.0329358e+00   1.7780446e+00   1.9103126e+00
   1.6539365e-01   1.3108796e-01   9.3456466e-02   1.1243768e-01   6.4793370e-02   2.2601567e+00   2.0148747e+00   2.1029509e+00   2.0070291e+00   2.1172093e+00
   3.1996742e-01   1.8909514e-01   1.4053273e-01   1.5569344e-01   8.8369105e-02   2.4587539e+00   2.2233694e+00   2.3459790e+00   2.2807235e+00   2.2382557e+00
   3.9068808e-01   2.5428836e-01   2.0883234e-01   1.9616325e-01   9.1065475e-02   2.4587937e+00   2.2254905e+00   2.3687719e+00   2.4344205e+00   2.2556844e+00
   3.9133505e-01   3.0127351e-01   2.9186530e-01   2.4249025e-01   1.2652076e-01   2.4605723e+00   2.2281333e+00   2.3687761e+00   2.5911623e+00   2.2566576e+00
   4.4178949e-01   3.1183961e-01   3.2450531e-01   2.6533704e-01   2.5167959e-01   2.4605820e+00   2.3011422e+00   2.4320540e+00   2.6061310e+00   2.3058525e+00
